Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
237,Glascontainer,48147 Münster - Wienburg,Meßkamp/Kinderhauser Straße,,51.980396,7.613625,2024-06-10
238,Glascontainer,48147 Münster - Wienburg,Stettiner Str. (ggü. Haus Nr. 68-82),,51.975903,7.646607,2024-06-10
239,Glascontainer,48147 Münster - Wienburg,Wienburgstraße/Salzmannstraße 1,,51.977360,7.621630,2024-06-10
240,Glascontainer,48167 Münster - Wolbeck,Am Borggarten (neben Haus Nr. 3),,51.921364,7.730451,2024-06-10
241,Glascontainer,48167 Münster - Wolbeck,Am Steintor/Juffernkamp,,51.912006,7.728437,2024-06-10
242,Glascontainer,48167 Münster - Wolbeck,Brandhoveweg (Parkplatz Hallenbad),,51.915874,7.715109,2024-06-10
243,Glascontainer,48167 Münster - Wolbeck,Dirk-von-Merveldt-Str. Ev.-Kirche,,51.918667,7.726744,2024-06-10
244,Glascontainer,48167 Münster - Wolbeck,Eschstraße 6,,51.921391,7.726744,2024-06-10
245,Glascontainer,48167 Münster - Wolbeck,Goldbrink (vor Haus Nr. 69),,51.922970,7.721637,2024-06-10
246,Glascontainer,48167 Münster - Wolbeck,Hiltruper Str. 55,,51.911495,7.717853,2024-06-10
247,Glascontainer,48167 Münster - Wolbeck,Hofstr. (neben Feuerwehrgerätehaus),,51.916927,7.734440,2024-06-10
248,Glascontainer,48167 Münster - Wolbeck,Middeler Straße (K&amp;K),,51.925724,7.724731,2024-06-10
249,Glascontainer,48167 Münster - Wolbeck,Recyclinghof Eschstraße,,51.918297,7.721005,2024-06-10
250,Glascontainer,48167 Münster - Wolbeck,Zumbuschstr./Buxtrup,,51.905758,7.720199,2024-06-10
