Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
16,Elektrokleingeräte-Container,48163 Münster - Geist,Geringhoffstraße  44 (Parkplatz HIT-Markt),,51.929893,7.600112,2023-01-23
17,Elektrokleingeräte-Container,48157 Münster - Gelmer,Zur Eckernheide/Hakenesheide (Sportplatz),,52.025932,7.674438,2023-01-23
18,Elektrokleingeräte-Container,48161 Münster - Gievenbeck,"Gievenbecker Reihe (Parkboxen vor Sportplatz, Mosaikschule )",,51.965267,7.568046,2023-01-23
19,Elektrokleingeräte-Container,48161 Münster - Gievenbeck,Heekweg 15 (Parkstreifen Lebensmittelmarkt),,51.972713,7.564237,2023-01-23
20,Elektrokleingeräte-Container,48161 Münster - Gievenbeck,Rüschhausweg / Enschedeweg,,51.968204,7.578708,2023-01-23
21,Elektrokleingeräte-Container,48167 Münster - Gremmendorf,Frankenweg 17,,51.920643,7.668963,2023-01-23
22,Elektrokleingeräte-Container,48155 Münster - Gremmendorf,Loddenheide 5 (Parkplatz Marktkauf),,51.938709,7.645914,2023-01-23
23,Elektrokleingeräte-Container,48157 Münster - Handorf,Kirschgarten 68 (gegenüber Sportplatz),,51.987377,7.709063,2023-01-23
24,Elektrokleingeräte-Container,48165 Münster - Hiltrup,"Am Roggenkamp 173 (Parkstreifen, südwestl. EKZ)",,51.903988,7.673038,2023-01-23
25,Elektrokleingeräte-Container,48165 Münster - Hiltrup,Amelsbürener Str. / Meesenstiege,,51.898445,7.623712,2023-01-23
26,Elektrokleingeräte-Container,48165 Münster - Hiltrup,Merkureck / Hohe Geest (EKZ),,51.913879,7.634897,2023-01-23
27,Elektrokleingeräte-Container,48165 Münster - Hiltrup,Osttor 101 (Parkplatz Sportplatz),,51.906548,7.668807,2023-01-23
28,Elektrokleingeräte-Container,48165 Münster - Hiltrup,Zur Vogelstange / Zum Roten Berge,,51.898972,7.641039,2023-01-23
29,Elektrokleingeräte-Container,48159 Münster - Kinderhaus,"Grevener Straße 420 (Parkstreifen, Taxistand (stadtausw.))",,51.995403,7.613071,2023-01-23
30,Elektrokleingeräte-Container,48159 Münster - Kinderhaus,Josef Beckmann Str. / Brüningheide,,51.997353,7.598677,2023-01-23
31,Elektrokleingeräte-Container,48159 Münster - Kinderhaus,Rektoratsweg / Im Moorhock,,51.987198,7.607987,2023-01-23
32,Elektrokleingeräte-Container,48159 Münster - Kinderhaus,Westhoffstraße 110 (vor REWE-Markt),,51.992908,7.599050,2023-01-23
33,Elektrokleingeräte-Container,48145 Münster - Mauritz,Andreas-Hofer-Straße 50 (Parkstreifen vor OFD),,51.957535,7.652920,2023-01-23
34,Elektrokleingeräte-Container,48145 Münster - Mauritz,Dieckstraße / Kärntner Straße,,51.970879,7.649173,2023-01-23
35,Elektrokleingeräte-Container,48155 Münster - Mauritz,Mondstraße / Hans-Bredow-Weg (WDR),,51.958195,7.676327,2023-01-23
36,Elektrokleingeräte-Container,48163 Münster - Mecklenbeck,Meyerbeerstraße 46 (Parkstreifen),,51.925842,7.576516,2023-01-23
37,Elektrokleingeräte-Container,48163 Münster - Mecklenbeck,Ossenkampstiege / Boeselagerstr.,,51.936428,7.596465,2023-01-23
38,Elektrokleingeräte-Container,48161 Münster - Nienberge,"Plettendorfstraße 6 (Parkstreifen, östl. EKZ)",,51.996750,7.556477,2023-01-23
39,Elektrokleingeräte-Container,48161 Münster - Roxel,Schulte-Hermann-Straße 9 (EKZ),,51.953262,7.533639,2023-01-23
40,Elektrokleingeräte-Container,48149 Münster - Sentrup,Sentruper Straße 151 (Parkstreifen Sportplatz),,51.955097,7.601194,2023-01-23
41,Elektrokleingeräte-Container,48159 Münster - Sprakel,Sprakeler Straße (nördl. Bahnhof),,52.042107,7.619273,2023-01-23
42,Elektrokleingeräte-Container,48147 Münster - Wienburg,Meßkamp / Kinderhauser Straße,,51.980354,7.613649,2023-01-23
43,Elektrokleingeräte-Container,48147 Münster - Wienburg,Stettiner Straße 68,,51.975834,7.646609,2023-01-23
44,Elektrokleingeräte-Container,48167 Münster - Wolbeck,Alverskirchener Str. 45 (Parkplatz Feuerwehr),,51.916889,7.734491,2023-01-23
45,Elektrokleingeräte-Container,48167 Münster - Wolbeck,Franz-von-Waldeck-Str. / Hiltruper Str. (Marktplatz),,51.915928,7.725556,2023-01-23
