Nr,Containertyp,Standort1,Standort2,Standort3,Latitude,Longitude,Datum
153,Glascontainer,48165 Münster - Hiltrup,Merkureck/Hohe Geest,,51.913910,7.634893,2023-01-23
154,Glascontainer,48165 Münster - Hiltrup,Moränenstraße/Kardinalstr. (Markt),,51.905052,7.642563,2023-01-23
155,Glascontainer,48165 Münster - Hiltrup,Osttor (Parkplatz Stadion),,51.906590,7.668780,2023-01-23
156,Glascontainer,48165 Münster - Hiltrup,Recyclinghof Hansestraße/Glasuritstraße,,51.895908,7.644838,2023-01-23
157,Glascontainer,48165 Münster - Hiltrup,Westfalenstraße/Zum Roten Berge,,51.898979,7.641050,2023-01-23
158,Glascontainer,48165 Münster - Hiltrup,"Zum Hiltruper See (Ortsausgang, höhe Haus-Nr. 30)",,51.903862,7.659473,2023-01-23
159,Glascontainer,48165 Münster - Hiltrup,Zum Hiltruper See/Westfalenstraße (Parkplatz Hohe Ward),,51.886429,7.650055,2023-01-23
160,Glascontainer,48159 Münster - Kinderhaus,Brüningheide (Haus Nr. 111-121),,52.000778,7.592439,2023-01-23
161,Glascontainer,48159 Münster - Kinderhaus,Brüningheide 123 (Meinertzstr. ggü.),,52.000397,7.595122,2023-01-23
162,Glascontainer,48159 Münster - Kinderhaus,Diesterwegstr./Meinertzstraße,,52.001865,7.599298,2023-01-23
163,Glascontainer,48159 Münster - Kinderhaus,Diesterwegstr./Schmüllingstr. (Parkstr.),,52.000870,7.599377,2023-01-23
164,Glascontainer,48159 Münster - Kinderhaus,Dreizehnerstraße/Grevener Straße,,51.983723,7.611165,2023-01-23
165,Glascontainer,48159 Münster - Kinderhaus,Janningsweg/Grevener Straße (Stadtauswärts),,51.995136,7.612909,2023-01-23
166,Glascontainer,48159 Münster - Kinderhaus,Josef-Beckmann-Str./Brüningheide,,51.997406,7.598622,2023-01-23
167,Glascontainer,48159 Münster - Kinderhaus,Josef-Beckmann-Str./Sprickmannstr.,,51.997375,7.597071,2023-01-23
168,Glascontainer,48159 Münster - Kinderhaus,Kerstingskamp vor Nr. 24,,51.988323,7.609817,2023-01-23
169,Glascontainer,48159 Münster - Kinderhaus,Killingstr. Haus Nr. 15 gegenüber,,51.999340,7.594050,2023-01-23
170,Glascontainer,48159 Münster - Kinderhaus,Rektoratsweg/Im Moorhock 54-36,,51.987228,7.607960,2023-01-23
171,Glascontainer,48159 Münster - Kinderhaus,Sprickmannstr. (Haus Nr. 19 gegenüber),,51.998631,7.594129,2023-01-23
172,Glascontainer,48159 Münster - Kinderhaus,Sprickmannstr. / Josef-Beckmann-Str. / Langeworth,,51.997715,7.592207,2023-01-23
173,Glascontainer,48159 Münster - Kinderhaus,Steinfurter Str. 104,,51.974457,7.605184,2023-01-23
174,Glascontainer,48159 Münster - Kinderhaus,Von Humboldt-Straße (vor Recyclinghof),,52.000240,7.604641,2023-01-23
175,Glascontainer,48159 Münster - Kinderhaus,Von-Einem-Str./ Gasselstiege gegenüber Haus-Nr 182,,51.982868,7.605937,2023-01-23
176,Glascontainer,48159 Münster - Kinderhaus,Von-Humboldt-Str. 11/Kristiansandstr.,,51.997746,7.603484,2023-01-23
177,Glascontainer,48159 Münster - Kinderhaus,Westhoffstraße (Parkplatz REWE Markt),,51.993469,7.599206,2023-01-23
178,Glascontainer,48145 Münster - Mauritz,Andreas-Hofer-Straße (OFD),,51.958149,7.653021,2023-01-23
179,Glascontainer,48155 Münster - Mauritz,August-Schepers-Straße/vor der Kanalbrücke Leinenpfad,,51.953896,7.655171,2023-01-23
180,Glascontainer,48145 Münster - Mauritz,Dieckstraße/Mecklenburger Straße,,51.970932,7.649163,2023-01-23
181,Glascontainer,48145 Münster - Mauritz,Hohenzollernring/Manfred-von-Richthofen-Str.,,51.958385,7.647442,2023-01-23
182,Glascontainer,48155 Münster - Mauritz,Manfred-von-Richthofen-Str./Merschkamp,,51.955795,7.666448,2023-01-23
183,Glascontainer,48145 Münster - Mauritz,Mauritz-Lindenweg (Hallenbad-Ost) Parkpl.,,51.959148,7.658765,2023-01-23
184,Glascontainer,48155 Münster - Mauritz,Mondstraße/Hans-Bredow-Weg,,51.958359,7.676224,2023-01-23
185,Glascontainer,48155 Münster - Mauritz,Mondstraße/Peter-Rosegger-Weg,,51.949944,7.675664,2023-01-23
186,Glascontainer,48155 Münster - Mauritz,Pleistermühlenweg (Klärwerk),,51.962414,7.684070,2023-01-23
187,Glascontainer,48155 Münster - Mauritz,Pleistermühlenweg (Recyclinghof),,51.961880,7.684342,2023-01-23
188,Glascontainer,48145 Münster - Mauritz,Pötterhoek/Cloppenburgstraße,,51.972275,7.653685,2023-01-23
189,Glascontainer,48145 Münster - Mauritz,Schiffahrter Damm 75,,51.971226,7.656959,2023-01-23
190,Glascontainer,48155 Münster - Mauritz,Schillerstraße /Ecke Ewaldistraße,,51.952538,7.648145,2023-01-23
191,Glascontainer,48145 Münster - Mauritz,Stiftsstraße,,51.963406,7.649329,2023-01-23
192,Glascontainer,48145 Münster - Mauritz,Von-der-Tinnen-Str./Sophienstr.,,51.956608,7.648202,2023-01-23
193,Glascontainer,48145 Münster - Mauritz,Warendorfer Straße 189 (Parkplatz Rewe),,51.967869,7.657542,2023-01-23
194,Glascontainer,48155 Münster - Mauritz,Wolbecker Str. 296 (Parkpl.),,51.951363,7.669298,2023-01-23
195,Glascontainer,48155 Münster - Mauritz,Wolbecker Str./ Clara-Ratzka-Weg,,51.951370,7.669279,2023-01-23
196,Glascontainer,48155 Münster - Mauritz,"Wolbecker Straße (Freibad Stapelskotten, Parkplatz Gaststätte)",,51.946774,7.690635,2023-01-23
197,Glascontainer,48155 Münster - Mauritz,Zum Guten Hirten (v.d. Kanalbrücke),,51.962791,7.663968,2023-01-23
198,Glascontainer,48163 Münster - Mecklenbeck,Brockmannstraße (hinter Kirche),,51.930538,7.579145,2023-01-23
199,Glascontainer,48163 Münster - Mecklenbeck,Christop-Bernhard-Str/ Spielplatz,,51.930477,7.574136,2023-01-23
200,Glascontainer,48163 Münster - Mecklenbeck,Echelmeyerstraße (Parkpl. Bildungsz.),,51.935619,7.589543,2023-01-23
201,Glascontainer,48163 Münster - Mecklenbeck,Meyerbeerstraße 71,,51.925892,7.576723,2023-01-23
202,Glascontainer,48163 Münster - Mecklenbeck,Ossenkampstiege/Boeselagerstraße,,51.936481,7.596457,2023-01-23
203,Glascontainer,48163 Münster - Mecklenbeck,RH Mecklenbeck,,51.930542,7.554598,2023-01-23
204,Glascontainer,48163 Münster - Mecklenbeck,Rockbusch/Kleibusch,,51.920006,7.575841,2023-01-23
