"X";"Y";"LFDNR";"NAME";"URL";"SchoolType"
3404633;5756804;100;"Ludwig-Erhard-Berufskolleg";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/100.html";"Berufskolleg"
3408916;5758408;4;"Margaretenschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/4.html";"Grundschule"
3408279;5753423;30;"Marienschule Hiltrup";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/30.html";"Grundschule"
3399110;5758929;29;"Marienschule Roxel";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/29.html";"Grundschule"
3405386;5758793;79;"Marienschule, Gymnasium für Mädchen";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/79.html";"Gymnasium"
3405153;5763269;49;"Martin-Luther-King-Schule, LWL-Förderschule, Förderschwerpunkt Sprache Münster";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/49.html";"Förderschule"
3405785;5760355;16;"Martin-Luther-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/16.html";"Grundschule"
3406007;5759945;28;"Martinischule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/28.html";"Grundschule"
3407522;5759110;114;"Mathilde-Anneke-Gesamtschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/114.html";"Gesamtschule"
3404663;5756968;15;"Matthias-Claudius-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/15.html";"Grundschule"
3410999;5762557;3;"Matthias-Claudius-Schule Handorf";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/3.html";"Grundschule"
3407266;5759713;27;"Mauritzschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/27.html";"Grundschule"
3407031;5763022;14;"Melanchthonschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/14.html";"Grundschule"
3402567;5760269;26;"Michaelschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/26.html";"Grundschule"
3406460;5758848;109;"Montessori-Schule Münster";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/109.html";"Montessorischule"
3401581;5759999;10;"Mosaik-Schule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/10.html";"Grundschule"
3405225;5763208;47;"Münsterlandschule, LWL-Förderschule, Förderschwerpunkt Hören und Kommunikation Münster";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/47.html";"Förderschule"
3412624;5754253;25;"Nikolaischule Wolbeck";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/25.html";"Grundschule"
3407278;5762591;24;"Norbertschule";"https://www.stadt-muenster.de/schulamt/schule-in-muenster/schuldatenbank/schulen/detailansicht/schule/24.html";"Grundschule"
