LfdNr;Objektname;Objekttyp;Lat;Lon;Objekttyp2;ObjektID;BezirkID;ObjektID2;PlatteBezeichnung;PlatteBaujahr;PlatteMaterial;PlatteID
53;D.-BONHOEFFER-SCHULE;Schule;51.94189867974506;7.6048107952772215;Grundschule;41;10;63102;Tischtennisplatte;;Stein;10 63102 D.-BONHOEFFER-SCHULE, BONHOEFFERSTRASSE 50
54;D.-BONHOEFFER-SCHULE;Schule;51.94189867974506;7.6048107952772215;Grundschule;41;10;63102;Tischtennisplatte;;Beton;10 63102 D.-BONHOEFFER-SCHULE, BONHOEFFERSTRASSE 50
55;D.-BONHOEFFER-SCHULE;Schule;51.94189867974506;7.6048107952772215;Grundschule;41;10;63102;Tischtennisplatte rund;;Beton;10 63102 D.-BONHOEFFER-SCHULE, BONHOEFFERSTRASSE 50
57;THERESIENSCHULE;Spielplatz;51.955995696298466;7.594090580604656;A-1: A-Bereich mit Ballspielangebot;25205;10;65201;Tischtennisplatte;;Beton;10 65201 THERESIENSCHULE, Sentruper Höhe 5
58;THERESIENSCHULE;Spielplatz;51.955995696298466;7.594090580604656;A-1: A-Bereich mit Ballspielangebot;25205;10;65201;Tischtennisplatte;;Beton;10 65201 THERESIENSCHULE, Sentruper Höhe 5
59;UNI-KLINIK: SPIELANGEBOT in der HELEN-KELLER-SCHULE;Schule;51.95880222694001;7.592494593104714;;;10;85210;Tischtennisplatte;;Sonstige;10 85210 UNI-KLINIK: SPIELANGEBOT in der HELEN-KELLER-SCHULE, Schmeddingstraße 54
60;SP KAPPENBERGER DAMM;Spielplatz;51.938637429011685;7.610146403639356;BC-0: BC-Bereich ohne Ballspielangebot;23202;20;23202;Tischtennisplatte;;Beton;20 23202 SP KAPPENBERGER DAMM
61;SP MATTHIAS-CLAUDIUS-SCHULE;Spielplatz;51.93895946806052;7.612134708274046;BC-0: BC-Bereich ohne Ballspielangebot;23203;20;23203;Tischtennisplatte (Schaukel);;Beton;20 23203 SP MATTHIAS-CLAUDIUS-SCHULE
62;SP MATTHIAS-CLAUDIUS-SCHULE;Spielplatz;51.93895946806052;7.612134708274046;BC-0: BC-Bereich ohne Ballspielangebot;23203;20;23203;Tischtennisplatte (Treppe);;Beton;20 23203 SP MATTHIAS-CLAUDIUS-SCHULE
63;SP GRÜNER GRUND;Spielplatz;51.94102543887177;7.613871494669641;BC-0: BC-Bereich ohne Ballspielangebot;23205;20;23205;Tischtennisplatte 1;;Beton;20 23205 SP GRÜNER GRUND
64;SP GRÜNER GRUND;Spielplatz;51.94102543887177;7.613871494669641;BC-0: BC-Bereich ohne Ballspielangebot;23205;20;23205;Tischtennisplatte 2;;Beton;20 23205 SP GRÜNER GRUND
65;SP GEISTSCHULE;Spielplatz;51.93876807338719;7.621416283463022;BC-0: BC-Bereich ohne Ballspielangebot;23209;20;23209;Tischtennisplatte rund;;Beton;20 23209 SP GEISTSCHULE
66;SP GEISTSCHULE;Spielplatz;51.93876807338719;7.621416283463022;BC-0: BC-Bereich ohne Ballspielangebot;23209;20;23209;Tischtennisplatte (rechts);;Beton;20 23209 SP GEISTSCHULE
67;SP GEISTSCHULE;Spielplatz;51.93876807338719;7.621416283463022;BC-0: BC-Bereich ohne Ballspielangebot;23209;20;23209;Tischtennisplatte (links);;Beton;20 23209 SP GEISTSCHULE
71;SP DAHLWEG;Spielplatz;51.94343515141237;7.626158704564626;ABC-1: ABC-Bereich mit Ballspielangebot;23303;20;23303;Tischtennisplatte;;Beton;20 23303 SP DAHLWEG
72;SP HERDINGSTRASSE;Spielplatz;51.94588355487556;7.627728234502779;BC-0: BC-Bereich ohne Ballspielangebot;23304;20;23304;Tischtennisplatte;;Beton;20 23304 SP HERDINGSTRASSE
73;SP SCHÜTZENHOF;Spielplatz;51.94539828208819;7.6242919487273015;BC-1: BC-Bereich mit Ballspielangebot;23305;20;23305;Tischtennisplatte;;Beton;20 23305 SP SCHÜTZENHOF
74;SP SEPPENRADEWEG;Spielplatz;51.93027403898673;7.603654987532194;BC-0: BC-Bereich ohne Ballspielangebot;23407;20;23407;Tischtennisplatte;;Beton;20 23407 SP SEPPENRADEWEG
75;SP SPICHERNSTRASSE;Spielplatz;51.93563211629424;7.623020888434983;ABC-1: ABC-Bereich mit Ballspielangebot;23409;20;23409;Tischtennisplatte rund;;Beton;20 23409 SP SPICHERNSTRASSE
77;SP SCHWARZER KAMP;Spielplatz;51.92638031469528;7.5681066702616375;BC-0: BC-Bereich ohne Ballspielangebot;25402;20;25402;Tischtennisplatte (Bank);;Beton;20 25402 SP SCHWARZER KAMP
78;SP CHRISTOPH-BERNHARD-GRABEN (SP WESTENKAMP);Spielplatz;51.930186760435596;7.5736380560827055;A-1: A-Bereich mit Ballspielangebot;25405;20;25405;Tischtennisplatte;;Beton;20 25405 SP CHRISTOPH-BERNHARD-GRABEN (SP WESTENKAMP)
79;SP HEROLDSTRASSE (HEIDBUSCH);Spielplatz;51.91991349319137;7.573855797354559;ABC-1: ABC-Bereich mit Ballspielangebot;25406;20;25406;Tischtennisplatte;;Beton;20 25406 SP HEROLDSTRASSE (HEIDBUSCH)
81;SP IM LANDSCHAFTSPARK MECKLENBECK;Spielplatz;51.932729587424525;7.57296293180037;A-1: A-Bereich mit Ballspielangebot;25409;20;25409;Tischtennisplatte rund;;Beton;20 25409 SP IM LANDSCHAFTSPARK MECKLENBECK
83;SP AM KÄMPKEN;Spielplatz;51.920512487815046;7.526085502601129;ABC-1: ABC-Bereich mit Ballspielangebot;25605;20;25605;Tischtennisplatte;;Beton;20 25605 SP AM KÄMPKEN
84;SP AM KÄMPKEN;Spielplatz;51.920512487815046;7.526085502601129;ABC-1: ABC-Bereich mit Ballspielangebot;25605;20;25605;Tischtennisplatte (Hügel);;Beton;20 25605 SP AM KÄMPKEN
85;SP HAUS WIEK;Spielplatz;51.915994749535095;7.523207489876134;A-0: A-Bereich ohne Ballspielangebot;25607;20;25607;Tischtennisplatte;;Beton;20 25607 SP HAUS WIEK
86;SP IM DAHL;Spielplatz;51.913432418809535;7.640315836030658;A-1: A-Bereich mit Ballspielangebot;29602;20;29602;Tischtennisplatte;;Beton;20 29602 SP IM DAHL
