"Objekt";"statB";"Bez";"ObjNr";"Bezeichnung";"Baujahr";"Material"
"20 29804 SP ALTE FURT";98;20;29804;"Tischtennisplatte (Gebäude)";;"Beton"
"20 29805 SP ARNIKAWEG";98;20;29805;"Tischtennisplatte";;"Beton"
"20 63301 HERMANN-SCHULE, DAHLWEG 66";33;20;63301;"Tischtennisplatte";;"Beton"
"20 63301 HERMANN-SCHULE, DAHLWEG 66";33;20;63301;"Tischtennisplatte";;"Beton"
"20 63401 GOTTFRIED-VON-CAPPENBERG-SCHULE, GLATZER WEG 9";34;20;63401;"Tischtennisplatte (vorne)";;"Beton"
"20 63401 GOTTFRIED-VON-CAPPENBERG-SCHULE, GLATZER WEG 9";34;20;63401;"Tischtennisplatte (hinten)";;"Beton"
"20 63402 ERNA-DE-VRIES-SCHULE, SPICHERNSTRASSE 17";34;20;63402;"Tischtennisplatte (links)";;"Beton"
"20 63402 ERNA-DE-VRIES-SCHULE, SPICHERNSTRASSE 17";34;20;63402;"Tischtennisplatte (rechts)";;"Beton"
"20 63402 ERNA-DE-VRIES-SCHULE, SPICHERNSTRASSE 17";34;20;63402;"Tischtennisplatte (vorne)";;"Beton"
"20 63402 ERNA-DE-VRIES-SCHULE, SPICHERNSTRASSE 17";34;20;63402;"Tischtennisplatte (hinten)";;"Beton"
"20 65401 PETER-WUST-SCHULE, DINGBÄNGERWEG 80";54;20;65401;"Tischtennisplatte rund";;"Beton"
"20 65401 PETER-WUST-SCHULE, DINGBÄNGERWEG 80";54;20;65401;"Tischtennisplatte";;"Beton"
"20 65401 PETER-WUST-SCHULE, DINGBÄNGERWEG 80";54;20;65401;"Tischtennisplatte (Schulhof)";;"Beton"
"20 65601 LUDGERUSSCHULE ALBACHTEN, HOHE GEIST 8";56;20;65601;"Tischtennisplatte (Spielfläche)";;"Beton"
"20 65601 LUDGERUSSCHULE ALBACHTEN, HOHE GEIST 8";56;20;65601;"Tischtennisplatte rund";;"Beton"
"20 65601 LUDGERUSSCHULE ALBACHTEN, HOHE GEIST 8";56;20;65601;"Tischtennisplatte (Fahrradständer)";;"Beton"
"20 65601 LUDGERUSSCHULE ALBACHTEN, HOHE GEIST 8";56;20;65601;"Tischtennisplatte (Gebäude)";;"Beton"
"20 69101 PRIMUSSCHULE BERG FIDEL, HOGENBERGSTRASSE 160";91;20;69101;"Tischtennisplatte (Wande ""Kamel"")";;"Beton"
"20 69101 PRIMUSSCHULE BERG FIDEL, HOGENBERGSTRASSE 160";91;20;69101;"Tischtennisplatte";;"Beton"
"20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199";96;20;69601;"Tischtennisplatte";;"Beton"
"20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199";96;20;69601;"Tischtennisplatte";;"Beton"
"20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199";96;20;69601;"Tischtennisplatte";;"Beton"
"20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199";96;20;69601;"Tischtennisplatte";;"Beton"
"20 69601 HAUPTSCHULE HILTRUP, WESTFALENSTRASSE 199";96;20;69601;"Tischtennisplatte";;"Beton"
"20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE";96;20;69604;"Tischtennisplatte rund";;"Beton"
"20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE";96;20;69604;"Tischtennisplatte (am Bauwerksgerüst)";;"Beton"
"20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE";96;20;69604;"Tischtennisplatte (Schulhof Mitte)";;"Beton"
"20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE";96;20;69604;"Tischtennisplatte (Johannesschule links)";;"Beton"
"20 69604 CLEMENS-+PAUL-GERHARDT-SCHULE, UNCKEL-/BODELSCHWINGH-STRASSE";96;20;69604;"Tischtennisplatte (Johannesschule rechts)";;"Beton"
"20 69701 LUDGERUSSCHULE HILTR; A.D.ALTEN KIRCHE 161";97;20;69701;"Tischtennisplatte (rechts)";;"Beton"
"20 69701 LUDGERUSSCHULE HILTR; A.D.ALTEN KIRCHE 161";97;20;69701;"Tischtennisplatte (mitte)";;"Beton"
"20 69701 LUDGERUSSCHULE HILTR; A.D.ALTEN KIRCHE 161";97;20;69701;"Tischtennisplatte (links)";;"Beton"
"20 69802 GRUNDSCHULE LOEVELINGLOH, WIEDAUSTRASSE 114";98;20;69802;"Tischtennisplatte";;"Beton"
"20 83301 BETREUTER SPIELPLATZ SÜDPARK 'ABI', DAHLWEG 3";33;20;83301;"Tischtennisplatte";;"Beton"
"30 24601 SP STETTINER STRASSE";46;30;24601;"Tischtennisplatte";;"Beton"
"30 24605 SP VIVALDISTRASSE";46;30;24605;"Tischtennisplatte";;"Beton"
"30 24606 SP GLUCKWEG";46;30;24606;"Tisch mit Hockern";;"Siebdruck"
"30 24607 SP THOMAS-MORUS-SCHULE";46;30;24607;"Tischtennisplatte (rechts)";;"Beton"
"30 24607 SP THOMAS-MORUS-SCHULE";46;30;24607;"Tischtennisplatte (links)";;"Beton"
"30 24707 SP STADTPARK WIENBURG";47;30;24707;"Tischtennisplatte rund";2018;"Beton"
"30 24708 SP DREIZEHNER-STRASSE";47;30;24708;"Tischtennisplatte";2002;"Beton"
"30 25101 SP POTSTIEGE";51;30;25101;"Tischtennisplatte";;"Beton"
"30 25103 SP MÖLLMANNSWEG";51;30;25103;"Tischtennisplatte";;"Beton"
"30 25105 SP GIEVENBACHTAL";51;30;25105;"Tisch";;"HPL"
"30 25106 SP BRUCHFELDWEG";51;30;25106;"Tischtennisplatte";;"Beton"
"30 25117 SP MERGELBERG-NORD";51;30;25117;"Tischtennisplatte (Balancierseil)";2001;"Beton"
"30 25117 SP MERGELBERG-NORD";51;30;25117;"Tischtennisplatte (Unterstand)";2001;"Beton"
"30 25708 SP KORBMACHERWEG";57;30;25708;"Tischtennisplatte";;"Beton"
"30 25709 SP SCHULCAMPUS ROXEL";57;30;25709;"Tischtennisplatte rund";;"Beton"
"30 25709 SP SCHULCAMPUS ROXEL";57;30;25709;"Tischtennisplatte (von links 1)";;"Beton"
"30 25709 SP SCHULCAMPUS ROXEL";57;30;25709;"Tischtennisplatte (von links 2)";;"Beton"
"30 25709 SP SCHULCAMPUS ROXEL";57;30;25709;"Tischtennisplatte (von links 3)";;"Beton"
"30 25709 SP SCHULCAMPUS ROXEL";57;30;25709;"Tischtennisplatte (von links 4)";;"Beton"
"30 25709 SP SCHULCAMPUS ROXEL";57;30;25709;"Tischtennisplatte";;"Stein"
"30 25807 SP AM HAUS NIENBERGE";58;30;25807;"Tischtennisplatte";;"Beton"
"30 25809 SP HÄGER, Hägerstraße";58;30;25809;"Tischtennisplatte";;"Beton"
"30 26106 SP NERZWEG";61;30;26106;"Tischtennisplatte";;"Beton"
"30 26106 SP NERZWEG";61;30;26106;"Tischtennisplatte";;"Beton"
"30 26112 SP AN DER MEERWIESE-MITTE";61;30;26112;"Tischtennisplatte";;"Beton"
"30 26302 SP KILLINGSTRASSE";63;30;26302;"Tischtennisplatte";;"Beton"
"30 26302 SP KILLINGSTRASSE";63;30;26302;"Tisch mit Hockern";;
"30 26304 SP ARNETHSTRASSE";63;30;26304;"Tisch mit Hockern";;"Siebdruck"
"30 26305 SP SPRICKMANNSTRASSE 10";63;30;26305;"Tisch mit Hockern";;
"30 26309 SP ALTE SCHANZE";63;30;26309;"Tischtennisplatte";;"Sonstige"
"30 26313 SP NORDMARK";63;30;26313;"Tischtennisplatte";;"Beton"
"30 56122 VG HAMANNPLATZ";61;30;56122;"Tischtennisplatte";;"Beton"
"30 56351 VG SCHMALOERS BUSCH";63;30;56351;"Tischtennisplatte";;"Beton"
"30 64701 DREIFALTIGKEITSSCHULE, FRIESENRING 25";47;30;64701;"Tischtennisplatte West";;"Sonstige"
"30 64701 DREIFALTIGKEITSSCHULE, FRIESENRING 25";47;30;64701;"Tischtennisplatte Ost";;"Sonstige"
"30 64702 PASCAL-GYMNASIUM, Uppenkampstiege 17";47;30;64702;"Tischtennisplatte";;
"30 64702 PASCAL-GYMNASIUM, Uppenkampstiege 17";47;30;64702;"Tischtennisplatte";;
"30 64702 PASCAL-GYMNASIUM, Uppenkampstiege 17";47;30;64702;"Tischtennisplatte";;
"30 65101 MICHAELSCHULE, Appelbreistiege 40";51;30;65101;"Tischtennisplatte";;"Beton"
"30 65101 MICHAELSCHULE, Appelbreistiege 40";51;30;65101;"Tischtennisplatte rund";;"Beton"
"30 65101 MICHAELSCHULE, Appelbreistiege 40";51;30;65101;"Tischtennisplatte (Tischtennisplatte rund)";;"Beton"
"30 65101 MICHAELSCHULE, Appelbreistiege 40";51;30;65101;"Tischtennisplatte";;"Beton"
"30 65103 MOSAIKSCHULE, DIECKMANNSTRASSE 131";51;30;65103;"Tischtennisplatte (Straße)";;"Beton"
"30 65103 MOSAIKSCHULE, DIECKMANNSTRASSE 131";51;30;65103;"Tischtennisplatte";;"Beton"
"30 65104 FREIHERR-VOM-STEIN-GYMNASIUM, DIECKMANNSTR.141";51;30;65104;"Tischtennisplatte rund";;"Beton"
"30 65104 FREIHERR-VOM-STEIN-GYMNASIUM, DIECKMANNSTR.141";51;30;65104;"Tischtennisplatte (Tischtennisplatte rund)";;"Beton"
"30 65104 FREIHERR-VOM-STEIN-GYMNASIUM, DIECKMANNSTR.141";51;30;65104;"Tischtennisplatte (Sportplatz)";;"Beton"
"30 65104 FREIHERR-VOM-STEIN-GYMNASIUM, DIECKMANNSTR.141";51;30;65104;"Tischtennisplatte (Basketballständer)";;"Beton"
"30 65703 MARIENSCHULE ROXEL, AUF DEM DORN 17";57;30;65703;"Tischtennisplatte";;"Beton"
"30 65703 MARIENSCHULE ROXEL, AUF DEM DORN 17";57;30;65703;"Tischtennisplatte";;"Beton"
"30 65704 AUGUSTIN-WIBBELT-SCHULE, AUF DEM DORN 14, ROXEL";57;30;65704;"Tischtennisplatte (Basketballkorb)";;"Beton"
"30 65704 AUGUSTIN-WIBBELT-SCHULE, AUF DEM DORN 14, ROXEL";57;30;65704;"Tischtennisplatte (Turmkombination)";;"Beton"
"30 65801 ANNETTE-VON-DROSTE-HÜLSHOFF-SCHULE NIENBERGE";58;30;65801;"Tischtennisplatte";;"Beton"
"30 65801 ANNETTE-VON-DROSTE-HÜLSHOFF-SCHULE NIENBERGE";58;30;65801;"Tischtennisplatte (Tischtennisplatte rund)";;"Beton"
"30 65801 ANNETTE-VON-DROSTE-HÜLSHOFF-SCHULE NIENBERGE";58;30;65801;"Tischtennisplatte rund";;"Beton"
"30 66102 MELANCHTONSCHULE, KÖNIGSBERGER STRASSE 91";61;30;66102;"Tischtennisplatte";;"Beton"
"30 66103 HAUPTSCHULE COERDE, DACHSLEITE 32";61;30;66103;"Tischtennisplatte (vorne)";;"Beton"
"30 66103 HAUPTSCHULE COERDE, DACHSLEITE 32";61;30;66103;"Tischtennisplatte (hinten)";;"Beton"
"30 66103 HAUPTSCHULE COERDE, DACHSLEITE 32";61;30;66103;"Tischtennisplatte (Treppe)";;"Beton"
"30 66104 NORBERTSCHULE, AN DER MEERWIESE 7";61;30;66104;"Tischtennisplatte";;"Beton"
"30 66104 NORBERTSCHULE, AN DER MEERWIESE 7";61;30;66104;"Tischtennisplatte";;"Beton"
"30 66201 GERTRUDEN-/P-SCHNEIDER-SCHULE,PASTORSESCH 34";62;30;66201;"Tischtennisplatte rund";2006;"Beton"
"30 66202 KOMPASSSCHULE, BRÖDERICHWEG 36";62;30;66202;"Tischtennisplatte";;"Beton"
"30 66202 KOMPASSSCHULE, BRÖDERICHWEG 36";62;30;66202;"Tischtennisplatte";;"Sonstige"
"30 66301 GRUNDSCHULE-KINDERH.-W; J.-BECKMANN-STR.33";63;30;66301;"Tischtennisplatte (links)";;"Beton"
"30 66301 GRUNDSCHULE-KINDERH.-W; J.-BECKMANN-STR.33";63;30;66301;"Tischtennisplatte (links vorne)";;"Beton"
"30 66301 GRUNDSCHULE-KINDERH.-W; J.-BECKMANN-STR.33";63;30;66301;"Tischtennisplatte (links hinten)";;"Beton"
"30 66301 GRUNDSCHULE-KINDERH.-W; J.-BECKMANN-STR.33";63;30;66301;"Tischtennisplatte (rechts vorne)";;"Beton"
"30 66301 GRUNDSCHULE-KINDERH.-W; J.-BECKMANN-STR.33";63;30;66301;"Tischtennisplatte (rechts hinten)";;"Beton"
"30 66302 WALDSCHULE KINDERHAUS, GROSSE WIESE 14";63;30;66302;"Tischtennisplatte";;"Beton"
"30 66302 WALDSCHULE KINDERHAUS, GROSSE WIESE 14";63;30;66302;"Tischtennisplatte (Schaukel)";;"Beton"
"30 66302 WALDSCHULE KINDERHAUS, GROSSE WIESE 14";63;30;66302;"Tischtennisplatte (links)";;"Beton"
"30 66302 WALDSCHULE KINDERHAUS, GROSSE WIESE 14";63;30;66302;"Tischtennisplatte (rechts)";;"Beton"
"30 66302 WALDSCHULE KINDERHAUS, GROSSE WIESE 14";63;30;66302;"Tischtennisplatte";;
"30 66303 SCHULZENTR. KI-HAUS: GRUND+REALSCHULE+GYMN., v-Humboldt-Str.14";63;30;66303;"Tischtennisplatte";;"Beton"
"30 66303 SCHULZENTR. KI-HAUS: GRUND+REALSCHULE+GYMN., v-Humboldt-Str.14";63;30;66303;"Tischtennisplatte (vorne)";;"Beton"
"30 66303 SCHULZENTR. KI-HAUS: GRUND+REALSCHULE+GYMN., v-Humboldt-Str.14";63;30;66303;"Tischtennisplatte (hinten)";;"Beton"
"30 66801 GRUNDSCHULE SPRAKEL, IN DER AU 3";68;30;66801;"Tischtennisplatte";;
"30 66801 GRUNDSCHULE SPRAKEL, IN DER AU 3";68;30;66801;"Tischtennisplatte";;
"30 74601 KITA AN DER GARTENSTRASSE, Nr.194";46;30;74601;"Tisch";;"Beton"
"30 84705 ATLANTIS, WIENBURGSTRASSE";47;30;84705;"Tisch mit Hockern";;
"30 84705 ATLANTIS, WIENBURGSTRASSE";47;30;84705;"Tisch mit Hockern";;
"40 24401 SP HUBERTISTRASSE";44;40;24401;"Tischtennisplatte";2021;"Sonstige"
"40 24408 SP MAURITZ-LINDENWEG";44;40;24408;"Tischtennisplatte rund";2018;"Beton"
"40 24502 SP WIENER STRASSE";45;40;24502;"Tischtennisplatte rund";;"Beton"
"40 24506 SP PÖTTERHOEK";45;40;24506;"Tischtennisplatte";;"Beton"
"40 24507 SP ADMIRAL-SPEE-STRASSE";45;40;24507;"Tischtennisplatte";;"Beton"
"40 24507 SP ADMIRAL-SPEE-STRASSE";45;40;24507;"Tischtennisplatte";;
"40 27103 SP MARGARETENSCHULE, BRENTANOWEG 18";71;40;27103;"Tischtennisplatte";;"Beton"
"40 27105 SP PARKALLEE";71;40;27105;"Tischtennisplatte";;"Beton"
"40 27106 SP HEGERSKAMP";71;40;27106;"Tischtennisplatte";;"Beton"
"40 27108 SP HANS-BREDOW-WEG";71;40;27108;"Tischtennisplatte";;
"40 27703 SP AM HORNBACH";77;40;27703;"Tischtennisplatte rund";2001;"Beton"
"40 27708 SP TOMKOTTEN";77;40;27708;"Tischtennisplatte (rechts)";;"Beton"
"40 27708 SP TOMKOTTEN";77;40;27708;"Tischtennisplatte (links)";;"Beton"
"40 28101 SP AM LÜTKEBACH";81;40;28101;"Tischtennisplatte";2004;"Beton"
"40 28103 SP KRÖGERWEG";81;40;28103;"Tischtennisplatte (vorne)";;"Beton"
"40 28103 SP KRÖGERWEG";81;40;28103;"Tischtennisplatte (hinten)";;"Beton"
"40 28204 SP ANGELMODDER WEG";82;40;28204;"Tischtennisplatte rund";;"Beton"
"40 28603 SP BIRKENHEIDE II";86;40;28603;"Tischtennisplatte";;"Beton"
"40 28605 SP VOGELROHRSHEIDE";86;40;28605;"Tischtennisplatte rund";;"Beton"
"40 28609 SP HAUS ANGELMODDE";86;40;28609;"Tischtennisplatte";;"Beton"
"40 28611 SP OSTPREUSSENSTRASSE";86;40;28611;"Tischtennisplatte";2020;"Sonstige"
"40 28709 SP AM BERLER KAMP";87;40;28709;"Tischtennisplatte";;"Beton"
"40 28710 SP GOLDBRINK";87;40;28710;"Tischtennisplatte";;"Beton"
"40 28710 SP GOLDBRINK";87;40;28710;"Tisch mit Hockern";;
"40 28711 SP ZUR WALBEKE";87;40;28711;"Tisch mit Hockern";;"Siebdruck"
"40 29505 SP DAHLIENWEG";95;40;29505;"Tischtennisplatte";;"Beton"
"40 29506 SP AM ROGGENKAMP";95;40;29506;"Tischtennisplatte";;"Beton"
"40 64401 ALBERT-SCHWEITZER-SCHULE, Manfred-von-Richthofen-Str.49";44;40;64401;"Tischtennisplatte";;
"40 64402 MATHILDE-ANNEKE-GESAMTSCHULE, AndreasHofer-Straße 30";44;40;64402;"Tischtennisplatte";;"Beton"
"40 64402 MATHILDE-ANNEKE-GESAMTSCHULE, AndreasHofer-Straße 30";44;40;64402;"Tischtennisplatte";;"Beton"
